date,hour,min_value,avg_value,max_value
2022-01-03,00:53:00,75,75.0,75
2022-01-03,01:51:00,76,76.0,76
2022-01-03,02:00:00,70,70.0,70
2022-01-03,08:03:00,56,56.0,56
2022-01-03,08:51:00,69,69.0,69
2022-01-03,09:35:00,84,84.0,84
2022-01-03,23:18:00,73,73.0,73
2022-01-03,19:54:00,79,79.0,79
2022-01-03,00:09:00,88,88.0,88
2022-01-03,03:21:00,64,64.0,64
2022-01-03,05:25:00,57,57.0,57
2022-01-03,12:12:00,80,80.0,80
2022-01-03,16:09:00,73,73.0,73
2022-01-03,17:59:00,79,79.0,79
2022-01-03,22:53:00,79,79.0,79
2022-01-03,06:14:00,63,63.0,63
2022-01-03,07:51:00,59,59.0,59
2022-01-03,13:13:00,76,76.0,76
2022-01-03,18:37:00,78,78.0,78
2022-01-03,23:04:00,75,75.0,75
2022-01-03,01:53:00,73,73.0,73
2022-01-03,04:47:00,62,62.0,62
2022-01-03,06:38:00,61,61.0,61
2022-01-03,08:57:00,97,97.0,97
2022-01-03,18:22:00,81,81.0,81
2022-01-03,20:29:00,75,75.0,75
2022-01-03,01:56:00,73,73.0,73
2022-01-03,02:39:00,70,70.0,70
2022-01-03,04:11:00,65,65.0,65
2022-01-03,09:01:00,72,72.0,72
2022-01-03,13:39:00,77,77.0,77
2022-01-03,14:47:00,76,76.0,76
2022-01-03,15:52:00,74,74.0,74
2022-01-03,20:11:00,77,77.0,77
2022-01-03,04:53:00,61,61.0,61
2022-01-03,05:07:00,54,54.0,54
2022-01-03,16:38:00,83,83.0,83
2022-01-03,17:17:00,93,93.0,93
2022-01-03,17:51:00,78,78.0,78
2022-01-03,21:12:00,82,82.0,82
2022-01-03,21:30:00,91,91.0,91
2022-01-03,23:50:00,83,83.0,83
2022-01-03,05:06:00,55,55.0,55
2022-01-03,05:10:00,56,56.0,56
2022-01-03,07:41:00,54,54.0,54
2022-01-03,14:12:00,79,79.0,79
2022-01-03,16:51:00,77,77.0,77
2022-01-03,17:02:00,76,76.0,76
2022-01-03,17:41:00,78,78.0,78
2022-01-03,23:25:00,79,79.0,79
